date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:26:20	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20May%202017%2009:26:19%20GMT	http://famo.us/docs	famo.us/docs.0.delayed	(from )
02:26:20	0/0	---M--	404	error ('Not%20Found')	text/plain	date:Sat,%2027%20May%202017%2009:26:20%20GMT	http://famo.us/robots.txt		(from )
02:26:20	4980/4980	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20May%202015%2022:29:55%20GMT	http://famo.us/docs/	famo.us/docs/index.html	(from )
02:26:21	11509/11509	---M-Z	200	added ('OK')	application/javascript	etag:%22555af6b5-2cf5%22	http://famo.us/lib/alameda.min.js	famo.us/lib/alameda.min.js	(from http://famo.us/docs/)
02:26:22	0/0	---M--	301	error ('Moved%20Permanently')	gzip	date:Sat,%2027%20May%202017%2009:26:22%20GMT	http://famo.us/	famo.us/index.html	(from http://famo.us/docs/)
02:26:22	24636/24636	---M-Z	200	added ('OK')	application/javascript	etag:%22555af6b5-603c%22	http://famo.us/lib/zepto.min.js	famo.us/lib/zepto.min.js	(from http://famo.us/docs/)
02:26:24	1150/1150	---M-Z	200	added ('OK')	application/javascript	etag:%22555af6b5-47e%22	http://famo.us/src/social.js	famo.us/src/social.js	(from http://famo.us/docs/)
02:26:25	179881/179881	---M-Z	200	added ('OK')	application/javascript	etag:%22555bb964-2bea9%22	http://famo.us/lib/famous/famous.min.js	famo.us/lib/famous/famous.min.js	(from http://famo.us/docs/)
02:26:26	2491/2491	---M-Z	200	added ('OK')	application/javascript	etag:%22555af6b5-9bb%22	http://famo.us/src/demos.js	famo.us/src/demos.js	(from http://famo.us/docs/)
02:26:26	461/461	---M-Z	200	added ('OK')	application/javascript	etag:%22555af6b5-1cd%22	http://famo.us/docs/api/latest/js/main.js	famo.us/docs/api/latest/js/main.js	(from http://famo.us/docs/)
02:26:27	1486/1486	---M-Z	200	added ('OK')	text/css	etag:%22555bb964-5ce%22	http://famo.us/lib/famous/famous.css	famo.us/lib/famous/famous.css	(from http://famo.us/docs/)
